#,Name,Degrees,Specialty,Branch,Visiting Days,Visiting Time,On Leave,Doctor ID,Image URL,Profile URL,Source,Scraped At
1,"Prof. Dr. M. Nazrul Islam","MBBS, FCPS, FRCP (London), FACC, FESC.","Cardiology","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250619132212-650408460-455424316.jpeg","https://www.populardiagnostic.com/doctordetail/2094","dom","2026-04-04T15:17:41.129Z"
2,"Prof. Dr. A. A. Shafi Majumder","MBBS, D.Card, MD (Card), FACC, FSGC, FRCP. Research Fellow, NCVC 9Japam), WHO Fellow in Cardiology,USA Director & Professor of Cardiology (Retd) National Institute of Cardiovascular Diseases, Dhaka.","Cardiology","Dhanmondi","","",Yes,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250602141937-867938492-1921256201.png","https://www.populardiagnostic.com/doctordetail/2095","dom","2026-04-04T15:17:41.130Z"
3,"Prof. Dr. Mohammad Safiuddin","MBBS (Dhaka), MD (Cardiology), DTCD (DU), FRCP (Eden) FACC (USA), FCCP (USA), FESC, FRCP (Glasgow). Chairman Cardiologist Department. Bangladesh Medical University","Cardiology","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250602142140-721699668-1614905959.png","https://www.populardiagnostic.com/doctordetail/2097","dom","2026-04-04T15:17:41.130Z"
4,"Prof. Dr. Md. Mukhlesur Rahman","MBBS (DMC), MCPS, FRCP (Medicine), MD (Card), FACC (USA), Medicine, Hypertension, Heart & Rheumatic Fever Specialist, Professor, Department of Cardiology,Bangladesh Medical University","Cardiology","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250701170158-228122985-1451359858.png","https://www.populardiagnostic.com/doctordetail/2098","dom","2026-04-04T15:17:41.130Z"
5,"Prof. Dr. M. A. Azhar","MBBS, FCPS (Medicine), FACP, FRCP (Edin). Sir Salimullah Medical College & Mitford Hospital, Dhaka.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/2099-1666648859.png","https://www.populardiagnostic.com/doctordetail/2099","dom","2026-04-04T15:17:41.130Z"
6,"Prof. Dr. H A M Nazmul Ahasan","FCPS, FRCP (Glasg), FRCP (Edin), FRCP (London), MACP (USA), Master, American College of Physicians (MACP). Professor of Medicine, Popular Medical College, Dhaka. Formerly Professor & Head, Department of Medicine, Dhaka Medical College, Bangladesh.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/2100-2060599053.jpg","https://www.populardiagnostic.com/doctordetail/2100","dom","2026-04-04T15:17:41.130Z"
7,"Prof. Dr. Enamul Karim","MBBS, FCPS (Medicine), FACP (USA). WHO Fellow (Diabetics). Dhaka Medical College & Hospital.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/2101-1206158624.png","https://www.populardiagnostic.com/doctordetail/2101","dom","2026-04-04T15:17:41.130Z"
8,"Prof. Dr. Q.Tarikul Islam","FCPS (Medicine), FACP (USA), FRCP (Glasgow), FRCP (Edin), MACP (USA). Popular Medicile College & Hospital, Dhaka.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250609123523-265726030-921136987.png","https://www.populardiagnostic.com/doctordetail/2102","dom","2026-04-04T15:17:41.131Z"
9,"Prof. Dr. Khan Abul Kalam Azad","MBBS (DMC), FCPS (Medicine), MD (Internal Med.), FACP (USA). Dhaka Medical College & Hospital.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/2103-1559711341.png","https://www.populardiagnostic.com/doctordetail/2103","dom","2026-04-04T15:17:41.131Z"
10,"Prof. Dr. M. N. Nag","MBBS (Dhaka), FCPS (Medicine). Rangpur Medical College & Hospital, Rangpur.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/2104-787507592.png","https://www.populardiagnostic.com/doctordetail/2104","dom","2026-04-04T15:17:41.131Z"
11,"Prof. Dr. Md. Titu Miah","FCPS (Internal Medicine),WHO Fellow in Rheumatology","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250614144243-1611688366-172380161.png","https://www.populardiagnostic.com/doctordetail/2106","dom","2026-04-04T15:17:41.131Z"
12,"Prof. Dr. Md. Azizul Haque","MBBS (Dhaka),FCPS(Medicine ), MACP (USA). Medicine Specialist, Ex. Professor & Head, Department of Medicine . Comilla Medical College & Hospital.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250609124001-533737594-2072637962.png","https://www.populardiagnostic.com/doctordetail/2108","dom","2026-04-04T15:17:41.131Z"
13,"Prof. Dr. Homayra Tahseen Hossain","MBBS (DMC), FCPS (Medicine), MRCP (UK), Professor, Department of Medicine, Popular Medical College & Hospital, Dhanmondi, Dhaka.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250609124123-1869671974-1329881710.png","https://www.populardiagnostic.com/doctordetail/2109","dom","2026-04-04T15:17:41.131Z"
14,"Prof. Dr. Amiruzzaman Sumon","MBBS, FCPS (Medicine), Professor & Head of Department (Medicine), Ahsania Mission Cancer & General Hospital, Uttara.","Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/2110-566973826.jpg","https://www.populardiagnostic.com/doctordetail/2110","dom","2026-04-04T15:17:41.131Z"
15,"Prof. Dr. M. Delwar Hossain","","Chest Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250609124452-226235638-23169388.png","https://www.populardiagnostic.com/doctordetail/2111","dom","2026-04-04T15:17:41.131Z"
16,"Dr. Rajashis Chakraborti","MBBS (DMC), FCPS (Medicine), MD (Chest Diseases), FCCP (USA), FRCP (Glassgow).Associate Professor. Bangladesh Medical University","Chest Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250609124653-178788748-680532441.png","https://www.populardiagnostic.com/doctordetail/2112","dom","2026-04-04T15:17:41.131Z"
17,"Prof. Dr. Rafiqul Alam","","Chest Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250609124930-710958765-1080395348.png","https://www.populardiagnostic.com/doctordetail/2113","dom","2026-04-04T15:17:41.131Z"
18,"Prof. Dr. Golam Kibria Khan","MBBS (Dhaka), FCPS (Medicine), MACP (USA), FACP (USA), Rheumatology Fellow (NY, USA). Dhaka Medical College, Dhaka.","Rheumatology Medicine","Dhanmondi","","",No,"","https://old.populardiagnostic.com/public/doctor-image-from-software/20250609125145-588843794-60303275.png","https://www.populardiagnostic.com/doctordetail/2114","dom","2026-04-04T15:17:41.132Z"
